text,label
Can we move our lunch meeting to noon tomorrow,ham
Please send me the notes from today's lecture,ham
Your package was left with the front desk,ham
I will call you when the train arrives,ham
Happy birthday and hope you have a wonderful day,ham
The project review starts at ten on Monday,ham
Could you pick up some milk on your way home,ham
Thanks for helping me prepare for the interview,ham
The dentist confirmed your appointment for Friday,ham
Dinner is ready whenever you get back,ham
Remember to submit the assignment before midnight,ham
Here is the photo from our weekend hike,ham
Are you free for a quick call this afternoon,ham
The library book is due next Wednesday,ham
I have attached the updated budget spreadsheet,ham
Your verification code for the school portal is 428193,ham
The repair technician will arrive between two and four,ham
Practice has been cancelled because of the rain,ham
Let us meet outside the cinema at seven,ham
Mom asked whether you are coming for dinner,ham
Your monthly account statement is now available,ham
The team approved the final design this morning,ham
Please remember to water the plants while I am away,ham
I found your keys beside the kitchen window,ham
The online class link is in the calendar invitation,ham
Congratulations on finishing your first marathon,ham
Your grocery order will be delivered this evening,ham
Can you review this paragraph before I publish it,ham
The office will be closed for the public holiday,ham
I transferred my share of the restaurant bill,ham
WIN a brand new phone click now to claim your prize,spam
Urgent your account won a cash reward respond immediately,spam
Congratulations you were selected for a free vacation,spam
Claim your exclusive gift card before this offer expires,spam
You have won one million dollars send bank details now,spam
Limited time deal buy now and save ninety percent,spam
Free entry into our weekly prize draw text WIN now,spam
Act today to receive a guaranteed loan with no checks,spam
Your number was chosen for a special cash bonus,spam
Click this link to unlock your surprise reward today,spam
Earn thousands from home with this secret opportunity,spam
Winner contact us now to collect your luxury holiday,spam
Lowest insurance rates guaranteed apply in five minutes,spam
You are preapproved for instant credit reply YES now,spam
Final warning claim your uncollected jackpot immediately,spam
Get rich quickly using this risk free investment method,spam
Exclusive casino bonus deposit today and double your money,spam
Free ringtone waiting for you subscribe by texting NOW,spam
Hot sale everything must go click for huge discounts,spam
Receive a free tablet when you complete this short survey,spam
Your lucky email address has won our international lottery,spam
Urgent payment required to avoid immediate account closure,spam
Mystery shopper jobs available earn cash starting today,spam
Cheap medications delivered without a prescription order now,spam
You qualify for debt relief call this private number today,spam
Get unlimited streaming free by confirming your card details,spam
Special promotion send this message to ten friends to win,spam
Investment alert this stock will triple buy before midnight,spam
Unlock premium access free enter your password at this link,spam
Last chance to collect your complimentary shopping voucher,spam
